Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_v3.x","Arduino_Nano",51.002000,21.604000,-90.000000,top
"G1","LOGO","thebrutzler_approved_small02",16.400000,45.200000,90.000000,top
"J1","GameBoy_Cartridge_MountingPin","GameBoy_Cartridge_AGS_1x32-1MP_P1.50mm_Socket_Horizontal",75.894000,37.616000,-90.000000,top
"J2","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",60.500000,65.400000,-90.000000,top
"J3","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",58.825000,2.400000,90.000000,top
"J4","Conn_01x04_Female","PinHeader_1x04_P2.00mm_Vertical",60.000000,9.450000,180.000000,top
"R1","470","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",53.750000,62.100000,0.000000,top
"R2","470","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",53.790000,59.000000,0.000000,top
"R3","470","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",53.790000,56.700000,0.000000,top
"R4","470","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",53.790000,54.300000,0.000000,top
"R5","470","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",56.690000,6.500000,0.000000,top
"U1","74HC595","DIP-16_W7.62mm",31.459000,53.374000,90.000000,top
"U2","74HC595","DIP-16_W7.62mm",49.209000,44.718000,-90.000000,top
