"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J1";"GameBoy_Cartridge_AGS_1x32-1MP_P1.50mm_Socket_Horizontal";1;"GameBoy_Cartridge_MountingPin";;;
2;"BTN";"SW_PUSH_6mm";1;"SW_Push";;;
3;"U2,U1";"DIP-16_W7.62mm";2;"74HC595_sorted";;;
4;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
5;"SW1";"SW_E-Switch_EG1224_SPDT_Angled";1;"SW_SPDT";;;
6;"R1,R3,R5,R4,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";5;"470Ω";;;
7;"C1";"CP_Radial_D4.0mm_P2.00mm";1;"10 µF";;;
8;"J3,J2,J5";"PinHeader_1x03_P2.54mm_Vertical";3;"Conn_01x03_Pin";;;
9;"TP1";"TestPoint_THTPad_2.5x2.5mm_Drill1.2mm";1;"TestPoint";;;
10;"A1";"Arduino_Nano_WithMountingHoles";1;"Arduino_Nano_v3.x_sorted";;;
11;"J7";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
